no,slug,fig1,fig2,fig3,op,fig1_fmt,fig2_fmt,fig3_fmt
1,accountability-incident-design,A,B,G,1,SVG,HTML,Table
2,ai-access-control-zerotrust,D,B,G,2,Mermaid,HTML,Table
3,ai-assurance-vs-audit,A,B,G,3,SVG,HTML,Table
4,ai-bom-implementation,J,E,G,4,Mermaid,HTML,Table
5,ai-bom-supply-chain,J,D,B,5,Mermaid,Table,HTML
6,ai-cyber-threat-model,D,H,I,6,Table,Mermaid,HTML
7,ai-data-governance-integration,D,B,G,7,Mermaid,HTML,Table
8,ai-ethics-committee-design,A,B,G,8,SVG,Mermaid,Table
9,ai-ethics-principles-policy,C,B,F,9,Mermaid,HTML,Table
10,ai-generated-display-ui-legal,A,B,G,10,SVG,HTML,Table
11,ai-incident-reporting-authority,A,E,G,1,HTML,Table,SVG
12,ai-incident-response-escalation,D,B,I,2,Table,SVG,Mermaid
13,ai-lifecycle-overview,C,F,J,3,SVG,Mermaid,HTML
14,ai-output-copyright,G,H,A,4,Mermaid,HTML,Table
15,ai-procurement-buy-build,E,D,F,5,HTML,Table,SVG
16,ai-procurement-decision-control,B,C,I,6,Table,SVG,Mermaid
17,ai-risk-appetite-framework,J,G,H,7,SVG,Mermaid,HTML
18,ai-risk-assessment-method,F,A,E,8,Mermaid,HTML,Table
19,ai-vendor-contract-clauses,I,D,B,9,HTML,Table,SVG
20,annual-plan-focus-areas,H,C,J,10,Table,SVG,Mermaid
21,audit-dashboard-board-metrics,A,B,G,1,SVG,Mermaid,HTML
22,audit-trail-logs,D,E,F,2,Mermaid,HTML,Table
23,auditor-ai-security-findings,C,H,I,3,HTML,Table,SVG
24,bcp-ai-dependency-failsafe,J,A,F,4,Table,SVG,Mermaid
25,bias-evaluation-qualitative-quantitative,B,D,G,5,SVG,Mermaid,HTML
26,bias-fairness-hr-credit-healthcare,E,C,I,6,Mermaid,HTML,Table
27,board-ai-agenda-metrics,F,H,J,7,HTML,Table,SVG
28,board-ai-governance-agenda,G,A,D,8,Table,SVG,Mermaid
29,centralized-federated-global,I,B,E,9,SVG,Mermaid,HTML
30,centralized-vs-federated,H,J,C,10,Mermaid,HTML,Table
31,change-management-resistance,A,E,G,1,HTML,Table,SVG
32,china-genai-regulation,D,B,I,2,Table,SVG,Mermaid
33,cloud-ai-contract-data-sovereignty,C,F,J,3,SVG,Mermaid,HTML
34,compliance-as-code,G,H,A,4,Mermaid,HTML,Table
35,confidential-input-design,E,D,F,5,HTML,Table,SVG
36,content-transparency-why-now,B,C,I,6,Table,SVG,Mermaid
37,continuous-conformity-assessment,J,G,H,7,SVG,Mermaid,HTML
38,continuous-evaluation-drift,F,A,E,8,Mermaid,HTML,Table
39,control-test-automation-ccm,I,D,B,9,HTML,Table,SVG
40,cross-border-data-contract,H,C,J,10,Table,SVG,Mermaid
41,cross-border-data-sovereignty,A,B,G,1,SVG,Mermaid,HTML
42,customer-facing-ai-b2b,D,E,F,2,Mermaid,HTML,Table
43,cxo-roles-ai-governance,C,H,I,3,HTML,Table,SVG
44,cxo-roles-summary,J,A,F,4,Table,SVG,Mermaid
45,data-artifacts-audit-trail,B,D,G,5,SVG,Mermaid,HTML
46,data-leakage-control-design,E,C,I,6,Mermaid,HTML,Table
47,data-quality-gigo,F,H,J,7,HTML,Table,SVG
48,data-retention-model-retirement,G,A,D,8,Table,SVG,Mermaid
49,data-sharing-joint-research,I,B,E,9,SVG,Mermaid,HTML
50,decommission-record-risk,H,J,C,10,Mermaid,HTML,Table
51,deepfake-countermeasures,A,E,G,1,HTML,Table,SVG
52,deploy-checklist-release-approval,D,B,I,2,Table,SVG,Mermaid
53,development-phase-control,C,F,J,3,SVG,Mermaid,HTML
54,dispute-evidence-log-document,G,H,A,4,Mermaid,HTML,Table
55,dlp-idp-casb-design,E,D,F,5,HTML,Table,SVG
56,documentation-audit-artifacts,B,C,I,6,Table,SVG,Mermaid
57,dpia-ai-risk-integration,J,G,H,7,SVG,Mermaid,HTML
58,ethics-risk-monitoring-remediation,F,A,E,8,Mermaid,HTML,Table
59,ethics-security-unified-control,I,D,B,9,HTML,Table,SVG
60,eu-ai-act-high-risk,H,C,J,10,Table,SVG,Mermaid
61,eu-ai-act-overview,A,B,G,1,SVG,Mermaid,HTML
62,eu-ai-act-prohibited,D,E,F,2,Mermaid,HTML,Table
63,eu-ai-act-transparency,C,H,I,3,HTML,Table,SVG
64,eval-automation-cicd,J,A,F,4,Table,SVG,Mermaid
65,evals-basics,B,D,G,5,SVG,Mermaid,HTML
66,evidence-bundle-audit,E,C,I,6,Mermaid,HTML,Table
67,evidence-minimum-requirements,F,H,J,7,HTML,Table,SVG
68,exception-management-control,G,A,D,8,Table,SVG,Mermaid
69,external-audit-expectations,I,B,E,9,SVG,Mermaid,HTML
70,external-communication-design,H,J,C,10,Mermaid,HTML,Table
71,extra-territorial-brussels-effect,A,E,G,1,HTML,Table,SVG
72,g7-oecd-hiroshima-ai-reporting,D,B,I,2,Table,SVG,Mermaid
73,gdpr-genai-personal-data,C,F,J,3,SVG,Mermaid,HTML
74,genai-red-line-boundaries,G,H,A,4,Mermaid,HTML,Table
75,generated-edited-classification-taxonomy,E,D,F,5,HTML,Table,SVG
